Title,Artist_name,Time_duration
Dil To Pagal Hai," Pritam, Mohan Kannan, Amitabh Bhattacharya,",5:36
Dheere Dheere Se Meri Zindagi Mein Aana," Rochak Kohli, Jubin Nautiyal, Anu Malik,",5:30
Tip Tip Barsa Paani," Javed Ali,",6:03
Dekha Hai Pehli Baar," Akull,",6:12
Baazigar O Baazigar," Jubin Nautiyal, Payal Dev,",7:39
Chura Ke Dil Mera," Himesh Reshammiya,",7:54
Dil Kho Gaya," Tanishk Bagchi, Jubin Nautiyal, Asees Kaur,",6:13
Pehli Pehli Baar Mohabbat Ki Hai," Jubin Nautiyal, Neeti Mohan, Rochak Kohli, Nusrat Fateh Ali Khan,",7:40
Aisi Deewangi," Rajat Nagpal, Yasser Desai, Himani Kapoor, Rana Sotal,",6:56
Jeeta Tha Jiske Liye," Stebin Ben,",8:20
Neend Churayee Meri," Shaan, Kailash Kher, Jatin-Lalit, Prasoon Joshi,",5:46
Chanda Sitare," Sachet Tandon, Parampara Tandon, Sachet-Parampara,",6:04
Ek Sanam Chahiye Aashiqui Ke Liye," Lata Mangeshkar, Kishore Kumar,",6:13
Chand Chhupa Badal Mein," Badshah,",5:46
Ae Mere Humsafar," Pritam, Arijit Singh, Amitabh Bhattacharya,",5:55
Paas Woh Aane Lage," Javed-Mohsin, Stebin Ben, Shreya Ghoshal,",6:13
Waada Raha Sanam (Duet Version)," Ananya Bhat,",6:08
Pehla Nasha," Neeti Mohan,",4:53
Tu Pyar Hai Kisi Aur Ka," Arijit Singh, Manan Bhardwaj,",6:53
Teri Umeed Tera Intezar," Mithoon, Arijit Singh, Neeti Mohan, Karan Malhotra,",6:20
Saaton Janam Main Tere," Rochak Kohli, B Praak,",5:53
Ek Din Aap," Javed-Mohsin, Himesh Reshammiya, Dev Negi, Payal Dev, Deane Sequeira,",4:26
Shikwa Nahin Kisi Se," Kaushik-Guddu, Raghav Chaitanya, Kunaal Vermaa,",5:35
Ek Ajnabee Haseena Se," Raj Barman,",4:27
Kabhi Kabhi Mere Dil Mein Duet," Tara Sutaria, Ankit Tiwari,",4:59
Aap Ki Ankhon Mein Kuch," Payal Dev, Jubin Nautiyal,",4:09
Pal Pal Dil Ke Paas (Blackmail / Soundtrack Version)," Ankit Tiwari, Manoj Muntashir,",5:27
Tum Aa Gaye Ho Noor Aa Gaya," Yasser Desai, Neeti Mohan,",4:12
Bachna Ae Hasinon Lo Main Aa Gaya," Saaj Bhatt,",6:25
Wada Karo Nahin Chodogi," Pritam, Arijit Singh, Tulsi Kumar,",5:09
Dialogue (Shalimar) Tum Ek / Hum Bewafa Hargiz Na Thay (Shalimar / Soundtrack Version)," Meet Bros, Stebin Ben, Danish Sabri,",4:11
Meet Na Mila Re," Jubin Nautiyal, Shashwat Sachdev,",4:56
Tera Mujhse Hai Nata Koi (Duet)," Kanishk Seth, Kavita Seth,",4:08
Salame-Ishq Meri Jaan," Rochak Kohli, Jubin Nautiyal, Nasir Iqbal,",5:49
Mere Dil Mein Aaj Kya Hai," Badshah, Payal Dev,",4:11
Aankhon Aankhon Mein Baat," Saaj Bhatt,",4:04
Main Pal Do Pal Ka Shair Hoon," Jubin Nautiyal, Meet Bros,",3:24
Teri Bindiya Re," Kunaal Vermaa, Yasser Desai,",4:32
Ankhiyon Ke Jharokhon Se - Part 2," Pritam, Arijit Singh, Amitabh Bhattacharya,",3:07
Janu Meri Jaan (Shaan / Soundtrack Version)," Darshan Raval,",7:06
Loote Koi Man Ka Nagar," Mithoon, Arijit Singh, Sayeed Quadri,",3:46
Meri Soni Meri Tammana Jhooth Nahin Hai," Tulsi Kumar, Jubin Nautiyal, Payal Dev,",4:31
Are Diwano Mujhe Pehchano," Salman Ali, Himesh Reshammiya,",4:44
Phoolon Ka Taron Ka- Male," Lata Mangeshkar, Kumar Sanu,",6:00
Ab Ke Sajan Sawan Mein," Kumar Sanu, S. P. Balasubrahmanyam, Alka Yagnik,",4:41
Maine Tere Liye," Lata Mangeshkar, Udit Narayan, Uttam Singh, Anand Bakshi,",4:08
Zindagi Ek Safar,,4:20
Zindagi Ke Safar Mein," Alka Yagnik, Udit Narayan,",6:37
Leke Pahla Pahla Pyar," Alka Yagnik, S. P. Balasubrahmanyam,",6:47
Mang Ke Saath Tumhara," Kumar Sanu, Alka Yagnik,",3:39
Hai Apna Dil To Aawara (Happy)," Anu Malik, Alka Yagnik, Kumar Sanu,",4:22
Yeh Hai Bombay Meri Jaan (Aye Dil)," Anand-Milind, Udit Narayan, Anuradha Paudwal,",4:09
Sar Jo Tera Chakraye," Kumar Sanu, Alka Yagnik,",4:21
Pyar Hua Iqrar Hua," Nadeem-Shravan, Alka Yagnik, Vinod Rathod,",4:18
Ankhon Mein Kya Ji," Kumar Sanu, Alka Yagnik, Ajay Devgn,",4:42
Waqt Ne Kiya Kya Haseen Sitam," Kumar Sanu, Udit Narayan, Alka Yagnik, Kavita Krishnamurti Subramaniam,",3:32
Aaiye Meharban," Udit Narayan, Alka Yagnik,",4:10
Suhana Safar Aur Yeh Mausam,,3:50
Munna Bada Pyara Ammi Ka Dulara," Udit Narayan, Alka Yagnik,",3:25
"Jalte Hain Jiske Liye (From ""Sujata"")"," Alka Yagnik, Udit Narayan,",4:07
Kabhi Aar Kabhi Paar," Anu Malik, Alka Yagnik, Kumar Sanu,",3:12
Mud Mud Ke Na Dekh Mud Mud Ke," Abhijeet, Alka Yagnik,",5:50
Chup Hai Dharti Chup Hai Chand," Udit Narayan, Sadhana Sargam,",3:04
O Nigahe Mastana,,3:53
Ae Malik Tere Bande Hum," Nadeem-Shravan, Sadhana Sargam, Kumar Sanu,",3:14
Awara Hoon," Kumar Sanu, Alka Yagnik,",3:10
Babuji Dheere Chalna," Kumar Sanu, Alka Yagnik,",3:28
Aayega Aanewala," Kumar Sanu,",6:52
Meri Neendon Mein Tum," Udit Narayan, Anuradha Paudwal,",5:23
Nain Se Nain," Udit Narayan, Alka Yagnik,",5:37
"Dukhi Man Mere (From ""Funtoosh"")"," Anu Malik, Sonu Nigam, Roopkumar Rathod,",3:03
Ae Dil Mujhe Bata De," Lata Mangeshkar, M.G. Sreekumar,",4:53
Jaam Tham Le," Hariharan, Kavita Krishnamurti Subramaniam,",3:16
"Kesariya (From ""Brahmastra"")"," Mohammed Aziz, Anuradha Paudwal, Anand, Milind,",4:28
